date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
2003-05-01,2003,5,International,5815577,7208234,81008,91,-4.99,-7.32
2003-05-01,2003,5,National,2163173,2355258,39996,2,-12.93,-14.05
2003-06-01,2003,6,International,6369843,7709468,83771,91,0.37,0.36
2003-06-01,2003,6,National,2558321,2760044,43303,2,-3.44,-5.04
2003-07-01,2003,7,International,7188943,8635958,90711,96,1.43,-1.24
2003-07-01,2003,7,National,2686885,2885688,48027,2,-4.6,-5.14
2003-08-01,2003,8,International,7647407,8991036,89736,97,4.28,-0.41
2003-08-01,2003,8,National,2497949,2666605,43494,2,-2.62,-4.16
2003-09-01,2003,9,International,6714645,8177779,86217,92,0.64,0.55
2003-09-01,2003,9,National,2419049,2610286,44668,2,-1.75,-1.29
2003-10-01,2003,10,International,6271895,7845244,84122,92,1.78,-2.16
2003-10-01,2003,10,National,2497580,2698850,45649,2,-3.26,-2.38
2003-11-01,2003,11,International,4998869,6551680,75206,95,4.19,-0.15
2003-11-01,2003,11,National,2175652,2350419,38921,2,-3.77,-2.93
2003-12-01,2003,12,International,5261545,6767444,75720,93,4.75,-2.36
2003-12-01,2003,12,National,2323122,2529864,40533,2,-4.72,-2.3
2004-01-01,2004,1,International,5202758,6635421,77497,88,4.65,-2.87
2004-01-01,2004,1,National,2173169,2361687,40213,2,-4.88,-6.29
2004-02-01,2004,2,International,5297459,6773926,75192,92,8.11,2.26
2004-02-01,2004,2,National,2017349,2209119,36727,2,-0.82,-6.02
2004-03-01,2004,3,International,5840460,7509874,81665,93,5.89,-1.79
2004-03-01,2004,3,National,2309131,2540837,40940,2,-0.33,-6.07
2004-04-01,2004,4,International,6664186,8187796,84298,97,18.05,7.5
2004-04-01,2004,4,National,2367402,2584896,40515,2,1.36,-2.47
2004-05-01,2004,5,International,6899409,8485606,89708,96,18.64,10.74
2004-05-01,2004,5,National,2384113,2574496,41590,2,10.21,3.99
2004-06-01,2004,6,International,7043832,8611473,87815,98,10.58,4.83
2004-06-01,2004,6,National,2555261,2766812,42659,2,-0.12,-1.49
2004-07-01,2004,7,International,7971407,9636418,94511,102,10.88,4.19
2004-07-01,2004,7,National,2616011,2821557,44096,2,-2.64,-8.18
